1	Угу	Угу	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#16.836#17.143	
2	Слушай	Слушать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#55.461#55.73	
3	ну	ну	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#55.73#55.999	
4	с	с	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#56.048#56.317	
5	другой	другой	ADJ	_	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#56.317#56.586	
6	стороны	сторона	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#56.586#56.855	
7	хм	хм	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#56.989#57.412	
8	знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#58.028#58.444	
9	есть-есть	есть-есть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#58.444#58.86	
10	такая	такой	PRON	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#58.86#59.276	
11	парадоксальная	парадоксальный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#59.276#59.692	
12	штука	штука	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#59.692#60.108	
13	да	да	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#60.108#60.528	
14	что	что	SCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#60.59#61.196	
15	там	там	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#62.494#62.678	
16	даже	даже	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#62.678#62.862	
17	в	в	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#62.862#63.046	
18	случае	случай	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#63.046#63.23	
19	с	с	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#63.23#63.414	
20	тем	тот	PRON	_	Case=Ins|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#63.414#63.598	
21	же	же	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#63.598#63.782	
22	Донбассом	Донбасс	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#63.782#63.971	
23	есть	есть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#64.659#65.062	
24	определенное	определенный	ADJ	_	Case=Gen|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#65.062#65.465	
25	количество	количество	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#65.465#65.87	
26	ну	ну	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#66.942#67.236	
27	назовем	назвать	INTJ	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#67.236#67.53	
28	их	они	PRON	_	Case=Gen|Number=Plur|Person=3	_	_	_	@gt1987m-Words#@gt1987m#67.53#67.824	
29	безумцы	безумец	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@gt1987m-Words#@gt1987m#67.824#68.118	
30	да	да	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#68.118#68.413	
31	Мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@gt1987m-Words#@gt1987m#68.49#68.744	
32	кажется	казаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@gt1987m-Words#@gt1987m#68.744#68.998	
33	там	там	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#68.998#69.252	
34	безумцы	безумец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@gt1987m-Words#@gt1987m#69.252#69.506	
35	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@gt1987m-Words#@gt1987m#69.506#69.76	
36	делают	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#69.76#70.014	
37	мир	мир	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#70.014#70.268	
38	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#70.268#70.522	
39	в	в	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#70.522#70.776	
40	принципе	принцип	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#70.776#71.03	
41	светлее	светлый	ADV	_	Degree=Cmp	_	_	_	@gt1987m-Words#@gt1987m#71.03#71.288	
42	которые	который	PRON	_	Case=Acc	_	_	_	@gt1987m-Words#@gt1987m#71.316#71.684	
43	просто	просто	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#71.684#72.052	
44	там	там	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#72.052#72.42	
45	не	не	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#72.42#72.788	
46	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#72.788#73.156	
47	услышали	слышать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#73.156#73.524	
48	призыв	призыв	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#73.524#73.892	
49	и	и	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#73.892#74.26	
50	по	по	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#74.26#74.628	
51	призыву	призыв	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#74.628#74.996	
52	отправились	отправиться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@gt1987m-Words#@gt1987m#74.996#75.374	
53	Есть	есть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#76.891#77.299	
54	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@gt1987m-Words#@gt1987m#77.299#77.707	
55	которые	который	PRON	_	Case=Nom	_	_	_	@gt1987m-Words#@gt1987m#77.707#78.115	
56	отправились	отправиться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@gt1987m-Words#@gt1987m#78.615#79.156	
57	туда	туда	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#79.156#79.698	
58	и	и	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#80.476#80.809	
59	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@gt1987m-Words#@gt1987m#80.809#81.142	
60	медийные	медийный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@gt1987m-Words#@gt1987m#81.142#81.476	
61	и	и	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#82.009#82.352	
62	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@gt1987m-Words#@gt1987m#82.352#82.695	
63	виднее	видный	ADJ	_	Degree=Cmp	_	_	_	@gt1987m-Words#@gt1987m#82.695#83.038	
64	всех	все	PRON	_	Animacy=Anim|Case=Gen|Number=Plur	_	_	_	@gt1987m-Words#@gt1987m#83.038#83.384	
65	и	и	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#83.422#83.671	
66	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@gt1987m-Words#@gt1987m#83.671#83.92	
67	в	в	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#83.92#84.169	
68	общем	общий	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#84.169#84.418	
69	отчасти	отчасти	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#84.418#84.667	
70	там	там	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#84.667#84.916	
71	архитекторы	архитектор	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@gt1987m-Words#@gt1987m#84.916#85.165	
72	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#85.165#85.414	
73	что	что	SCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#85.414#85.663	
74	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#85.663#85.912	
75	произошло	произойти	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#85.912#86.163	
76	но	но	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#86.182#86.503	
77	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@gt1987m-Words#@gt1987m#86.503#86.824	
78	п-поехали	п-поехать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#86.824#87.145	
79	туда	туда	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#87.145#87.466	
80	просто	просто	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#87.466#87.787	
81	с-там	 там	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#87.787#88.108	
82	с	с	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#88.108#88.429	
83	мешком	мешок	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#88.429#88.75	
84	кэша	кэша	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#88.75#89.075	
85	и-и	и	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#89.402#89.983	
86	автоматом	автомат	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#89.983#90.565	
87	и	и	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#90.796#91.061	
88	как	как	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#91.061#91.326	
89	бы	бы	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#91.326#91.591	
90	вернулись	вернуться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@gt1987m-Words#@gt1987m#91.591#91.856	
91	с	с	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#91.856#92.121	
92	еще	еще	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#92.121#92.386	
93	большим	больший	ADJ	_	Case=Ins|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#92.386#92.651	
94	мешком	мешок	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#92.651#92.916	
95	кэша	кэша	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#92.916#93.181	
96	И	и	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#93.791#94.053	
97	которые	который	PRON	_	Case=Acc	_	_	_	@gt1987m-Words#@gt1987m#94.053#94.315	
98	стали	стать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#94.315#94.577	
99	в	в	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#94.577#94.839	
100	принципе	принцип	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#94.839#95.101	
101	бенефициарами	бенефициар	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur	_	_	_	@gt1987m-Words#@gt1987m#95.101#95.363	
102	да	да	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#95.363#95.625	
103	В	в	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#95.625#95.887	
104	отличие	отличие	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#95.887#96.149	
105	от	от	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#96.149#96.411	
106	тех	тот	PRON	_	Case=Gen|Number=Plur	_	_	_	@gt1987m-Words#@gt1987m#96.411#96.673	
107	кто	кто	PRON	_	Case=Nom	_	_	_	@gt1987m-Words#@gt1987m#96.673#96.935	
108	туда	туда	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#96.935#97.197	
109	поехал	поехать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#97.197#97.459	
110	будучи	быть	AUX	_	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#97.459#97.721	
111	безумцем	безумец	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#97.721#97.983	
112	Вот	вот	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#98.499#98.799	
113	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	_	_	_	@gt1987m-Words#@gt1987m#98.799#99.099	
114	в	в	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#99.099#99.399	
115	этом	этот	PRON	_	Case=Loc|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#99.399#99.699	
116	смысле	смысл	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#99.699#99.999	
117	кто	кто	PRON	_	Case=Nom	_	_	_	@gt1987m-Words#@gt1987m#99.999#100.299	
118	симпатичнее	симпатичный	ADJ	_	Degree=Cmp	_	_	_	@gt1987m-Words#@gt1987m#100.299#100.603	
119	И-и	и-и	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#103.865#104.337	
120	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@gt1987m-Words#@gt1987m#104.337#104.809	
121	разделяешь	разделять	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#104.809#105.281	
122	Нет	нет	ADV	_	_	_	_	_	@gt1987m-Words#@gt1987m#106.009#106.271	
123	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@gt1987m-Words#@gt1987m#106.271#106.533	
124	понимаю	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#106.533#106.795	
125	простой	простой	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#106.795#107.057	
126	человек-то	человек-то	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#107.057#107.319	
127	-	-	PUNCT	_	_	_	_	_	@gt1987m-Words#@gt1987m#107.319#107.581	
128	это	это	PRON	_	_	_	_	_	@gt1987m-Words#@gt1987m#107.581#107.843	
129	мо-мой	мо-мой	PRON	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing|Person=1	_	_	_	@gt1987m-Words#@gt1987m#107.843#108.105	
130	друг	друг	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#108.105#108.37	
131	и	и	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#108.567#108.76	
132	так	так	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#108.76#108.953	
133	далее	далее	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#108.953#109.148	
134	но	но	CCONJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#109.567#109.738	
135	тем	то	PRON	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#109.738#109.909	
136	не	не	PART	_	Polarity=Neg	_	_	_	@gt1987m-Words#@gt1987m#109.909#110.08	
137	менее	менее	ADV	_	Degree=Cmp	_	_	_	@gt1987m-Words#@gt1987m#110.08#110.251	
138	Просто	просто	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#110.803#111.255	
139	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@gt1987m-Words#@gt1987m#111.317#111.503	
140	имею	иметь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#111.503#111.689	
141	в	в	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#111.689#111.875	
142	виду	вид	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#111.875#112.061	
143	т-	т-	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#112.061#112.247	
144	у	у	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#112.247#112.433	
145	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@gt1987m-Words#@gt1987m#112.433#112.619	
146	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#112.619#112.805	
147	какое-то	какой-то	PRON	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#112.805#112.991	
148	такое	такой	PRON	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#112.991#113.177	
149	разделение	разделение	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#113.177#113.37	
150	У	у	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#113.65#113.861	
151	теб	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@gt1987m-Words#@gt1987m#113.861#114.073	
152	На	на	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#115.076#115.514	
153	полутонах	полутон	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur	_	_	_	@gt1987m-Words#@gt1987m#115.514#115.953	
154	Нет-нет-нет	Нет-нет	ADV	_	_	_	_	_	@gt1987m-Words#@gt1987m#127.115#127.499	
155	нет	нет	ADV	_	_	_	_	_	@gt1987m-Words#@gt1987m#127.499#127.884	
156	ну	ну	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#127.913#128.138	
157	их	они	PRON	_	Case=Acc|Number=Plur|Person=3	_	_	_	@gt1987m-Words#@gt1987m#128.138#128.363	
158	же	же	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#128.363#128.588	
159	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#128.588#128.813	
160	равно	равный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@gt1987m-Words#@gt1987m#128.813#129.038	
161	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@gt1987m-Words#@gt1987m#129.038#129.263	
162	как-то	как-то	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#129.263#129.488	
163	в	в	ADP	_	_	_	_	_	@gt1987m-Words#@gt1987m#129.488#129.713	
164	итоге-то	итог	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#129.713#129.938	
165	вычленяешь	вычленять	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@gt1987m-Words#@gt1987m#129.938#130.163	
166	что	что	PRON	_	Case=Nom	_	_	_	@gt1987m-Words#@gt1987m#130.163#130.388	
167	называется	называться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@gt1987m-Words#@gt1987m#130.388#130.624	
168	просто	просто	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#130.692#130.885	
169	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@gt1987m-Words#@gt1987m#130.885#131.078	
170	же	же	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#131.078#131.271	
171	видишь	видеть	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#131.271#131.464	
172	сам	сам	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@gt1987m-Words#@gt1987m#131.464#131.659	
173	Естественно	Естественно	ADV	_	Degree=Pos	_	_	_	@gt1987m-Words#@gt1987m#168.594#169.277	
174	Ну	ну	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#195.522#195.882	
175	да	да	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#195.882#196.243	
176	[нрзб]	[нрзб]	PUNCT	_	_	_	_	_	@gt1987m-Words#@gt1987m#210.509#211.038	
177	Угу-угу-угу	Угу-угу-угу	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#223.365#223.817	
178	Ну	ну	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#266.748#266.945	
179	вот	вот	PART	_	_	_	_	_	@gt1987m-Words#@gt1987m#266.945#267.142	
180	Угу	угу	INTJ	_	_	_	_	_	@gt1987m-Words#@gt1987m#284.778#285.228	
181	Ну	ну	INTJ	_	_	_	_	_	@dnk1993m-Words#@dnk1993m#0.403#0.644	
182	вот	вот	PART	_	_	_	_	_	@dnk1993m-Words#@dnk1993m#0.644#0.885	
183	в	в	ADP	_	_	_	_	_	@dnk1993m-Words#@dnk1993m#0.885#1.126	
184	чем	что	PRON	_	Case=Loc	_	_	_	@dnk1993m-Words#@dnk1993m#1.126#1.367	
185	как	как	ADV	_	Degree=Pos	_	_	_	@dnk1993m-Words#@dnk1993m#1.367#1.608	
186	бы	бы	PART	_	_	_	_	_	@dnk1993m-Words#@dnk1993m#1.608#1.849	
187	типа	типа	PART	_	_	_	_	_	@dnk1993m-Words#@dnk1993m#1.849#2.096	
188	весь-весь	весь-весь	PRON	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dnk1993m-Words#@dnk1993m#2.451#2.787	
189	вот	вот	PART	_	_	_	_	_	@dnk1993m-Words#@dnk1993m#2.787#3.123	
190	этот-то	этот-то	PRON	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dnk1993m-Words#@dnk1993m#3.123#3.459	
191	цимес	цимес	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dnk1993m-Words#@dnk1993m#3.459#3.795	
192	заключается	заключаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@dnk1993m-Words#@dnk1993m#3.795#4.131	
193	на	на	ADP	_	_	_	_	_	@dnk1993m-Words#@dnk1993m#4.131#4.467	
194	мой	мой	PRON	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dnk1993m-Words#@dnk1993m#4.467#4.803	
195	взгляд	взгляд	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dnk1993m-Words#@dnk1993m#4.803#5.144	
196	в	в	ADP	_	_	_	_	_	@dnk1993m-Words#@dnk1993m#5.394#5.693	
